Close,SIGNAL,HOLD%,BUY%,SELL%
2060.0,2,0.05266777,0.18274705,0.7645852
2125.0,2,0.0490251,0.108996056,0.8419788
2085.0,2,0.05077287,0.083145894,0.86608124
2030.0,2,0.079380535,0.07426467,0.8463548
2015.0,2,0.06356834,0.1061039,0.83032775
2040.0,2,0.069866166,0.10491705,0.8252168
2045.0,2,0.062262572,0.0956442,0.8420933
2010.0,2,0.05614609,0.12246036,0.82139355
2055.0,2,0.062946446,0.09884382,0.8382097
2025.0,2,0.081747614,0.073572576,0.8446798
2010.0,2,0.0981286,0.05134591,0.8505255
1990.0,2,0.088660024,0.030178722,0.8811613
2000.0,2,0.12473742,0.031119011,0.8441436
1990.0,2,0.11635685,0.029425163,0.85421795
1975.0,2,0.12996654,0.029708302,0.8403252
2000.0,2,0.114527784,0.029325472,0.85614675
2015.0,2,0.12738134,0.022402113,0.85021657
2025.0,2,0.08452272,0.04720381,0.8682735
2075.0,2,0.11381565,0.03340543,0.8527789
2095.0,2,0.14632542,0.020043172,0.83363146
2110.0,2,0.11038884,0.030843483,0.8587676
2190.0,2,0.12377048,0.017391918,0.8588376
2175.0,2,0.13555557,0.011436318,0.8530081
2210.0,2,0.17207731,0.020525146,0.8073975
2260.0,2,0.14060068,0.018556193,0.8408431
2225.0,2,0.16165704,0.013010725,0.8253323
2225.0,2,0.16920193,0.020079385,0.81071866
2235.0,2,0.15903804,0.022145808,0.8188162
2245.0,2,0.17081243,0.019560717,0.8096269
2220.0,2,0.1901989,0.024543773,0.78525734
2305.0,2,0.2466037,0.024822908,0.72857344
2255.0,2,0.26881653,0.020374252,0.71080923
2265.0,2,0.2911586,0.012621097,0.6962203
2245.0,2,0.2901153,0.014258739,0.69562596
2265.0,2,0.34105286,0.015160354,0.64378685
2290.0,2,0.34109506,0.012460884,0.64644414
2255.0,0,0.49158132,0.054206327,0.4542124
2245.0,2,0.42962927,0.13288088,0.4374898
2200.0,0,0.5797845,0.11620055,0.30401492
2220.0,1,0.33264303,0.49783546,0.16952147
