Close,SIGNAL,HOLD%,BUY%,SELL%
116.0,1,0.40441743,0.4572863,0.13829623
116.0,0,0.559332,0.27590743,0.16476056
116.0,0,0.78482646,0.138142,0.077031545
118.0,0,0.67044264,0.13901053,0.1905468
115.0,0,0.43130323,0.15968794,0.40900883
116.5,0,0.41577914,0.2577652,0.32645562
114.5,2,0.14531955,0.3550023,0.4996781
113.5,2,0.15908132,0.2817207,0.55919796
113.5,1,0.179724,0.4738441,0.3464319
114.5,1,0.11569201,0.56182796,0.32248008
115.0,1,0.1422625,0.5192645,0.33847296
117.0,1,0.1394825,0.56208444,0.29843307
116.0,1,0.14542742,0.46727216,0.3873004
117.0,1,0.1958806,0.4340231,0.3700962
116.5,1,0.19549476,0.4158637,0.38864157
117.5,2,0.16668044,0.36328402,0.4700355
117.0,2,0.18664095,0.38419795,0.4291611
109.5,1,0.13340163,0.44991922,0.41667914
107.0,1,0.09020088,0.48786953,0.4219296
108.5,1,0.07872695,0.6206832,0.30058986
108.5,2,0.07325205,0.38441372,0.54233426
110.5,2,0.108555354,0.20787846,0.6835662
113.0,2,0.17870225,0.26500013,0.5562976
113.5,0,0.4582298,0.31389803,0.22787216
122.0,0,0.4233867,0.398939,0.17767431
125.5,0,0.5012166,0.30477417,0.19400935
125.0,0,0.43754008,0.3490569,0.21340296
122.5,0,0.3759691,0.35199896,0.27203193
120.5,1,0.11054703,0.7856301,0.103822865
117.0,1,0.1983126,0.5435237,0.25816378
125.5,1,0.12058769,0.48614404,0.39326835
127.0,2,0.03994425,0.0048769796,0.95517874
128.5,0,0.8354328,0.03785448,0.12671264
129.0,1,0.22121891,0.6807514,0.09802969
127.0,1,0.0029542514,0.8355206,0.16152507
125.0,1,0.0055486364,0.95377755,0.040673785
125.5,1,0.007404287,0.98797905,0.0046167476
127.0,1,0.0007091904,0.997175,0.0021158243
126.0,1,0.017144103,0.97306937,0.009786551
125.5,1,0.17386483,0.76660776,0.059527393
