,數值
交易次數,1.0
累計報酬率,0.014515632809400558
成功次數,1.0
虧損次數,0.0
勝率,1.0
獲利總金額,290.31265618801115
虧損總金額,0.0
獲利因子,inf
平均獲利金額,290.31265618801115
平均虧損金額,0.0
賺賠比,0.0
最大單筆獲利,290.31265618801115
最大單筆虧損,0.0
MDD,0.0
