Date,Open,High,Low,Close,signal,Buy,Sell,Num
2023-03-13,2.880000114440918,2.880000114440918,2.869999885559082,2.869999885559082,2,,,
2023-03-14,2.869999885559082,2.890000104904175,2.869999885559082,2.890000104904175,2,,,
2023-03-15,2.990000009536743,3.0,2.950000047683716,2.950000047683716,2,,,
2023-03-16,2.880000114440918,2.930000066757202,2.880000114440918,2.9000000953674316,2,,,
2023-03-17,2.9100000858306885,2.9600000381469727,2.9100000858306885,2.9200000762939453,2,,,
2023-03-20,2.9200000762939453,2.950000047683716,2.890000104904175,2.890000104904175,2,,,
2023-03-21,2.950000047683716,2.950000047683716,2.9000000953674316,2.930000066757202,2,,,
2023-03-22,2.950000047683716,2.950000047683716,2.9200000762939453,2.9200000762939453,2,,,
2023-03-23,2.9200000762939453,2.930000066757202,2.9100000858306885,2.9200000762939453,2,,,
2023-03-24,2.9200000762939453,2.930000066757202,2.9100000858306885,2.9200000762939453,2,,,
2023-03-27,2.930000066757202,2.930000066757202,2.9200000762939453,2.930000066757202,2,,,
2023-03-28,2.930000066757202,2.940000057220459,2.930000066757202,2.940000057220459,2,,,
2023-03-29,2.940000057220459,2.940000057220459,2.930000066757202,2.940000057220459,2,,,
2023-03-30,2.950000047683716,2.9600000381469727,2.940000057220459,2.950000047683716,2,,,
2023-03-31,3.240000009536743,3.240000009536743,3.1700000762939453,3.2300000190734863,2,,,
2023-04-06,3.450000047683716,3.549999952316284,3.450000047683716,3.549999952316284,2,,,
2023-04-07,3.549999952316284,3.9000000953674316,3.549999952316284,3.880000114440918,2,,,
2023-04-10,3.890000104904175,4.260000228881836,3.890000104904175,4.260000228881836,2,,,
2023-04-11,4.599999904632568,4.650000095367432,4.21999979019165,4.300000190734863,2,,,
2023-04-12,4.329999923706055,4.480000019073486,3.869999885559082,3.990000009536743,2,,,
2023-04-13,3.940000057220459,4.0,3.5999999046325684,3.8499999046325684,2,,,
2023-04-14,3.8499999046325684,3.940000057220459,3.5999999046325684,3.9000000953674316,2,,,
2023-04-17,3.9100000858306885,4.289999961853027,3.9000000953674316,4.269999980926514,2,,,
2023-04-18,4.28000020980835,4.650000095367432,3.9700000286102295,4.099999904632568,2,,,
2023-04-19,3.9600000381469727,4.150000095367432,3.930000066757202,4.0,2,,,
2023-04-20,4.099999904632568,4.099999904632568,3.9100000858306885,3.990000009536743,2,,,
2023-04-21,3.9000000953674316,3.990000009536743,3.8499999046325684,3.9600000381469727,2,,,
2023-04-24,3.9600000381469727,4.179999828338623,3.859999895095825,4.03000020980835,2,,,
2023-04-25,3.9800000190734863,4.03000020980835,3.8499999046325684,3.880000114440918,2,,,
2023-04-26,3.869999885559082,3.930000066757202,3.869999885559082,3.9200000762939453,2,,,
2023-04-27,3.890000104904175,4.019999980926514,3.890000104904175,4.010000228881836,2,,,
2023-04-28,4.130000114440918,4.170000076293945,4.059999942779541,4.119999885559082,2,,,
2023-05-02,4.119999885559082,4.119999885559082,3.9600000381469727,4.010000228881836,2,,,
2023-05-03,3.759999990463257,3.759999990463257,3.609999895095825,3.609999895095825,2,,,
2023-05-04,3.5999999046325684,3.5999999046325684,3.25,3.5,2,,,
2023-05-05,3.4600000381469727,3.549999952316284,3.4600000381469727,3.5,2,,,
2023-05-08,3.5999999046325684,3.799999952316284,3.5999999046325684,3.609999895095825,2,,,
2023-05-09,3.6500000953674316,3.7200000286102295,3.5999999046325684,3.5999999046325684,2,,,
2023-05-10,3.5999999046325684,3.640000104904175,3.450000047683716,3.5399999618530273,2,,,
2023-05-11,3.4700000286102295,3.5199999809265137,3.4000000953674316,3.4000000953674316,2,,,
2023-05-12,3.3499999046325684,3.3499999046325684,3.059999942779541,3.200000047683716,2,,,
2023-05-15,3.069999933242798,3.0999999046325684,3.0,3.049999952316284,2,,,
2023-05-16,3.2300000190734863,3.3499999046325684,3.1600000858306885,3.3499999046325684,2,,,
2023-05-17,3.2200000286102295,3.5,3.2200000286102295,3.3399999141693115,2,,,
2023-05-18,3.299999952316284,3.3499999046325684,3.200000047683716,3.2300000190734863,2,,,
2023-05-19,3.1500000953674316,3.380000114440918,3.1500000953674316,3.3499999046325684,2,,,
2023-05-22,3.450000047683716,3.450000047683716,3.3499999046325684,3.390000104904175,2,,,
2023-05-23,3.380000114440918,3.390000104904175,3.25,3.380000114440918,2,,,
2023-05-24,3.2699999809265137,3.380000114440918,3.2699999809265137,3.380000114440918,2,,,
2023-05-25,3.380000114440918,3.680000066757202,3.380000114440918,3.559999942779541,2,,,
2023-05-26,3.5,3.6500000953674316,3.450000047683716,3.549999952316284,2,,,
2023-05-29,3.5199999809265137,3.559999942779541,3.5,3.5399999618530273,2,,,
2023-05-30,3.5199999809265137,3.5199999809265137,3.3299999237060547,3.380000114440918,2,,,
2023-05-31,3.380000114440918,3.380000114440918,3.319999933242798,3.3499999046325684,2,,,
2023-06-01,3.309999942779541,3.4700000286102295,3.309999942779541,3.430000066757202,2,,,
2023-06-02,3.4800000190734863,3.5,3.4200000762939453,3.4700000286102295,2,,,
2023-06-05,3.4700000286102295,3.5899999141693115,3.4700000286102295,3.559999942779541,2,,,
2023-06-06,3.5799999237060547,3.5799999237060547,3.450000047683716,3.549999952316284,2,,,
2023-06-07,3.549999952316284,3.5899999141693115,3.509999990463257,3.559999942779541,2,,,
2023-06-08,3.569999933242798,3.569999933242798,3.4600000381469727,3.5399999618530273,2,,,
